,index,Player,G,GS,MP,PTS,AST,TRB,ORB,DRB,STL,BLK,TOV,PF,FGA,FG,3PA,3P,FTA,FT,FG%,3P%,FT%,eFG%,Rk,Age,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
0,0,A.J. Green,73.0,7.0,22.7,7.4,1.5,2.4,0.2,2.1,0.5,0.1,0.5,2.2,5.8,2.5,5.0,2.1,0.4,0.3,0.429,0.427,0.815,0.612,152.0,25.0,9.2,0.621,0.856,0.064,1.2,9.8,5.7,8.5,1.1,0.4,8.4,12.6,1.6,1.3,2.8,0.082,-1.7,-0.4,-2.2,-0.1
1,1,A.J. Lawson,26.0,2.0,18.7,9.1,1.2,3.3,0.8,2.5,0.5,0.2,0.6,1.7,7.3,3.1,3.9,1.3,2.4,1.7,0.421,0.327,0.683,0.508,379.0,24.0,12.7,0.542,0.532,0.332,4.3,14.9,9.5,9.1,1.3,1.2,6.4,20.0,0.4,0.4,0.8,0.081,-1.5,-1.0,-2.5,-0.1
2,2,AJ Johnson,29.0,11.0,33.3,12.0,4.1,3.4,0.4,3.0,0.6,0.1,2.0,2.3,11.5,4.5,4.6,1.4,1.9000000000000001,1.5,0.401,0.4235,0.6930000000000001,0.46799999999999997,338.0,20.0,8.200000000000001,0.48699999999999993,0.3746666666666667,0.153,0.9,10.866666666666667,5.966666666666666,18.96666666666667,0.9666666666666667,0.3,14.299999999999999,19.400000000000002,-0.3333333333333333,0.0,-0.26666666666666666,-0.029333333333333333,-4.833333333333333,-2.2666666666666666,-7.1000000000000005,-0.6333333333333333
3,3,Aaron Gordon,51.0,42.0,28.4,14.7,3.2,4.8,1.6,3.3,0.5,0.3,1.4,1.6,9.7,5.2,3.4,1.5,3.5,2.8,0.531,0.436,0.81,0.607,185.0,29.0,17.0,0.65,0.346,0.36,6.4,12.1,9.4,15.0,0.8,0.9,11.3,19.0,3.6,0.7,4.3,0.143,2.7,-1.5,1.2,1.2
4,4,Aaron Holiday,62.0,3.0,12.8,5.5,1.3,1.3,0.2,1.0,0.3,0.2,0.6,1.0,4.3,1.9,2.9,1.2,0.7,0.5,0.437,0.398,0.829,0.571,305.0,28.0,12.2,0.594,0.675,0.153,1.7,8.9,5.2,14.3,1.2,1.2,11.5,16.8,1.2,0.8,2.0,0.122,-0.4,0.1,-0.2,0.3
5,5,Aaron Nesmith,45.0,37.0,25.0,12.0,1.2,4.0,0.8,3.1,0.8,0.4,0.8,2.5,8.4,4.3,4.3,1.9,1.8,1.6,0.507,0.431,0.913,0.617,250.0,25.0,14.6,0.653,0.515,0.211,3.7,13.9,8.8,6.6,1.5,1.4,8.2,17.4,1.9,1.0,2.9,0.126,0.0,-0.5,-0.5,0.4
6,6,Aaron Wiggins,76.0,26.0,22.9,12.0,1.8,3.9,1.1,2.8,0.8,0.2,0.9,1.3,9.6,4.7,4.5,1.7,1.2,1.0,0.488,0.383,0.831,0.577,139.0,26.0,16.1,0.596,0.466,0.122,5.1,12.9,9.1,10.6,1.7,1.0,8.3,20.3,2.7,2.7,5.4,0.148,1.3,-0.2,1.1,1.4
7,7,Adam Flagler,37.0,0.0,5.5,1.8,0.3,0.7,0.2,0.5,0.2,0.1,0.1,0.4,2.6,0.7,1.9,0.4,0.1,0.0,0.26,0.194,0.5,0.333,457.0,25.0,3.7,0.335,0.75,0.021,3.8,10.3,7.1,7.3,1.9,1.5,4.0,21.1,-0.6,0.3,-0.3,-0.062,-8.1,-2.3,-10.3,-0.4
8,8,Adama Sanogo,4.0,0.0,5.3,2.0,0.3,1.5,1.3,0.3,0.0,0.0,0.3,0.3,1.8,1.0,0.0,0.0,0.0,0.0,0.571,0.0,0.0,0.571,548.0,22.0,15.2,0.571,0.0,0.0,25.4,4.9,15.0,6.7,0.0,0.0,12.5,15.9,0.0,0.0,0.0,0.105,0.7,-3.4,-2.6,0.0
9,9,Adem Bona,58.0,11.0,15.6,5.8,0.5,4.2,1.6,2.6,0.4,1.2,1.1,2.2,3.3,2.3,0.0,0.0,1.7,1.2,0.703,0.0,0.67,0.703,287.0,21.0,16.5,0.714,0.005,0.521,11.1,19.9,15.3,4.4,1.4,7.5,20.5,14.3,1.4,0.9,2.3,0.121,-2.9,0.2,-2.7,-0.2
